Date	Time	Severity	PID	TID	Function	Message
31-08-2026	12:36:27.584	 INFO	 41212	 28768	DllMain	"DLL_PROCESS_ATTACH Sun Apr 27 14:47:17 2025 11.4.2500.28"
31-08-2026	12:36:27.585	 INFO	 41212	 28768	DllMain	"PROCESS ATTACHED"
31-08-2026	12:36:27.586	 INFO	 41212	 40632	LateInitialization	"Intialization..."
31-08-2026	12:36:27.587	 INFO	 41212	 40632	LoadDisplayDevicesName	"DisplayDevices : "
31-08-2026	12:36:27.588	 INFO	 41212	 40632	LoadDisplayDevicesName	"\\.\DISPLAY1"
31-08-2026	12:36:27.589	 INFO	 41212	 40632	LoadDisplayDevicesName	"\\.\DISPLAY2"
31-08-2026	12:36:27.590	 INFO	 41212	 40632	LoadDisplayDevicesName	"\\.\DISPLAY3"
31-08-2026	12:36:27.591	 INFO	 41212	 40632	LoadDisplayDevicesName	"\\.\DISPLAY4"
31-08-2026	12:51:09.435	 INFO	 40844	 27688	DllMain	"DLL_PROCESS_ATTACH Sun Apr 27 14:47:17 2025 11.4.2500.28"
31-08-2026	12:51:09.437	 INFO	 40844	 27688	DllMain	"PROCESS ATTACHED"
31-08-2026	12:51:09.437	 INFO	 40844	 43756	LateInitialization	"Intialization..."
31-08-2026	12:51:09.438	 INFO	 40844	 43756	LoadDisplayDevicesName	"DisplayDevices : "
31-08-2026	12:51:09.438	 INFO	 40844	 43756	LoadDisplayDevicesName	"\\.\DISPLAY1"
31-08-2026	12:51:09.438	 INFO	 40844	 43756	LoadDisplayDevicesName	"\\.\DISPLAY2"
31-08-2026	12:51:09.439	 INFO	 40844	 43756	LoadDisplayDevicesName	"\\.\DISPLAY3"
31-08-2026	12:51:09.439	 INFO	 40844	 43756	LoadDisplayDevicesName	"\\.\DISPLAY4"
31-08-2026	12:51:12.456	ERROR	 40844	 43756	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
31-08-2026	12:51:12.457	 INFO	 40844	 43756	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 15234125
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
31-08-2026	12:51:12.458	 INFO	 40844	 43756	LateInitialization	"Intialization finished"
31-08-2026	12:51:22.661	 INFO	 39004	 43612	DllMain	"DLL_PROCESS_ATTACH Sun Apr 27 14:47:17 2025 11.4.2500.28"
31-08-2026	12:51:22.662	 INFO	 39004	 43612	DllMain	"PROCESS ATTACHED"
31-08-2026	12:51:22.663	 INFO	 39004	 41364	LateInitialization	"Intialization..."
31-08-2026	12:51:22.663	 INFO	 39004	 41364	LoadDisplayDevicesName	"DisplayDevices : "
31-08-2026	12:51:22.664	 INFO	 39004	 41364	LoadDisplayDevicesName	"\\.\DISPLAY1"
31-08-2026	12:51:22.664	 INFO	 39004	 41364	LoadDisplayDevicesName	"\\.\DISPLAY2"
31-08-2026	12:51:22.665	 INFO	 39004	 41364	LoadDisplayDevicesName	"\\.\DISPLAY3"
31-08-2026	12:51:22.665	 INFO	 39004	 41364	LoadDisplayDevicesName	"\\.\DISPLAY4"
31-08-2026	12:51:25.675	ERROR	 39004	 41364	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
31-08-2026	12:51:25.676	 INFO	 39004	 41364	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 15247343
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
31-08-2026	12:51:25.676	 INFO	 39004	 41364	LateInitialization	"Intialization finished"
31-08-2026	13:48:31.343	 INFO	 45772	 22012	DllMain	"DLL_PROCESS_ATTACH Sun Apr 27 14:47:17 2025 11.4.2500.28"
31-08-2026	13:48:31.344	 INFO	 45772	 22012	DllMain	"PROCESS ATTACHED"
31-08-2026	13:48:31.345	 INFO	 45772	 32724	LateInitialization	"Intialization..."
31-08-2026	13:48:31.345	 INFO	 45772	 32724	LoadDisplayDevicesName	"DisplayDevices : "
31-08-2026	13:48:31.346	 INFO	 45772	 32724	LoadDisplayDevicesName	"\\.\DISPLAY1"
31-08-2026	13:48:31.346	 INFO	 45772	 32724	LoadDisplayDevicesName	"\\.\DISPLAY2"
